Date : 2025-04-06 17:17:41
Directory : /media/jian/ssd4t/zero/zero/expAugmentation
Total : 113 files,  23174 codes, 1985 comments, 3752 blanks, all 28911 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         97 |     18,074 |      1,923 |      3,666 |     23,663 |
| JSON     |          9 |      4,609 |          0 |          5 |      4,614 |
| YAML     |          7 |        491 |         62 |         81 |        634 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        113 |     23,174 |      1,985 |      3,752 |     28,911 |
| . (Files)                                                                                                       |          9 |      1,873 |        262 |        457 |      2,592 |
| ObsProcessor                                                                                                    |          3 |        922 |        124 |        234 |      1,280 |
| ReconLoss                                                                                                       |          1 |        149 |          4 |         35 |        188 |
| config                                                                                                          |          9 |        606 |         80 |        113 |        799 |
| dataset                                                                                                         |          7 |      2,063 |        308 |        482 |      2,853 |
| models                                                                                                          |         84 |     17,561 |      1,207 |      2,431 |     21,199 |
| models/Base                                                                                                     |          1 |         41 |          0 |         13 |         54 |
| models/DAFC                                                                                                     |          6 |      1,495 |        123 |        262 |      1,880 |
| models/DAFC (Files)                                                                                             |          1 |        484 |         88 |        101 |        673 |
| models/DAFC/components                                                                                          |          5 |      1,011 |         35 |        161 |      1,207 |
| models/DiffuserActor3D                                                                                          |          7 |      1,985 |        211 |        373 |      2,569 |
| models/DiffuserActor3D (Files)                                                                                  |          2 |        974 |        176 |        214 |      1,364 |
| models/DiffuserActor3D/components                                                                               |          5 |      1,011 |         35 |        159 |      1,205 |
| models/DiffuserActor3D_original.py                                                                              |          1 |        553 |         49 |         68 |        670 |
| models/FK                                                                                                       |          4 |        463 |         50 |        150 |        663 |
| models/FK (Files)                                                                                               |          1 |        342 |         46 |        110 |        498 |
| models/FK/component                                                                                             |          3 |        121 |          4 |         40 |        165 |
| models/clean                                                                                                    |         22 |      2,878 |        225 |        546 |      3,649 |
| models/clean (Files)                                                                                            |          3 |        284 |         19 |         66 |        369 |
| models/clean/PointTransformerV3                                                                                 |          6 |      1,685 |        123 |        257 |      2,065 |
| models/clean/PointTransformerV3 (Files)                                                                         |          2 |      1,345 |         74 |        146 |      1,565 |
| models/clean/PointTransformerV3/serialization                                                                   |          4 |        340 |         49 |        111 |        500 |
| models/clean/optim                                                                                              |          8 |        539 |         36 |        141 |        716 |
| models/clean/utils                                                                                              |          5 |        370 |         47 |         82 |        499 |
| models/dp2d                                                                                                     |         11 |      2,303 |        178 |        425 |      2,906 |
| models/dp2d (Files)                                                                                             |          1 |        163 |         28 |         51 |        242 |
| models/dp2d/components                                                                                          |         10 |      2,140 |        150 |        374 |      2,664 |
| models/dp2d/components/PointTransformerV3                                                                       |          6 |      1,685 |        123 |        257 |      2,065 |
| models/dp2d/components/PointTransformerV3 (Files)                                                               |          2 |      1,345 |         74 |        146 |      1,565 |
| models/dp2d/components/PointTransformerV3/serialization                                                         |          4 |        340 |         49 |        111 |        500 |
| models/dp2d/components/diffusion                                                                                |          4 |        455 |         27 |        117 |        599 |
| models/lotus                                                                                                    |         32 |      7,843 |        371 |        594 |      8,808 |
| models/lotus (Files)                                                                                            |          4 |        668 |         46 |         96 |        810 |
| models/lotus/PointTransformerV3                                                                                 |          6 |      1,685 |        123 |        257 |      2,065 |
| models/lotus/PointTransformerV3 (Files)                                                                         |          2 |      1,345 |         74 |        146 |      1,565 |
| models/lotus/PointTransformerV3/serialization                                                                   |          4 |        340 |         49 |        111 |        500 |
| models/lotus/assets                                                                                             |          9 |      4,609 |          0 |          5 |      4,614 |
| models/lotus/optim                                                                                              |          8 |        539 |         36 |        141 |        716 |
| models/lotus/utils                                                                                              |          5 |        342 |        166 |         95 |        603 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                        | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /media/jian/ssd4t/zero/zero/expAugmentation/ObsProcessor/ObsProcessorBase.py                                    | Python   |          9 |          0 |          5 |         14 |
| /media/jian/ssd4t/zero/zero/expAugmentation/ObsProcessor/ObsProcessorDA3D.py                                    | Python   |        256 |         24 |         58 |        338 |
| /media/jian/ssd4t/zero/zero/expAugmentation/ObsProcessor/ObsProcessorPtv3.py                                    | Python   |        657 |        100 |        171 |        928 |
| /media/jian/ssd4t/zero/zero/expAugmentation/ReconLoss/ForwardKinematics.py                                      | Python   |        149 |          4 |         35 |        188 |
| /media/jian/ssd4t/zero/zero/expAugmentation/__init__.py                                                         | Python   |          0 |          0 |          1 |          1 |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/DA3D.yaml                                                    | YAML     |         35 |          2 |          8 |         45 |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/DA3D_Original.yaml                                           | YAML     |         15 |          0 |          1 |         16 |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/DP.yaml                                                      | YAML     |         88 |          1 |         15 |        104 |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/FK.yaml                                                      | YAML     |         95 |          5 |         13 |        113 |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/constants.py                                                 | Python   |         56 |         14 |         10 |         80 |
