Date : 2025-04-20 09:11:30
Directory : /media/jian/ssd4t/zero
Total : 1806 files,  277498 codes, 15167 comments, 36054 blanks, all 328719 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      1,215 |    159,386 |     13,359 |     32,884 |    205,629 |
| JSON             |        128 |     61,460 |          0 |         70 |     61,530 |
| YAML             |        231 |     26,348 |      1,339 |      1,640 |     29,327 |
| CSV              |         43 |     23,010 |          0 |         43 |     23,053 |
| JSON Lines       |        107 |      2,088 |          0 |        106 |      2,194 |
| Markdown         |         13 |      1,349 |          0 |        561 |      1,910 |
| BibTeX style     |          1 |      1,243 |         54 |        146 |      1,443 |
| XML              |         35 |      1,011 |        158 |        200 |      1,369 |
| Shell Script     |         21 |        402 |        116 |        142 |        660 |
| Log              |          1 |        348 |          0 |         27 |        375 |
| TeX              |          1 |        336 |         89 |         47 |        472 |
| Ini              |          1 |        307 |          0 |        127 |        434 |
| pip requirements |          4 |         94 |          5 |         13 |        112 |
| LaTeX            |          1 |         72 |         44 |         31 |        147 |
| TOML             |          2 |         29 |          1 |         13 |         43 |
| BibTeX           |          1 |         15 |          2 |          4 |         21 |
| (Read Error)     |          1 |          0 |          0 |          0 |          0 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |      1,806 |    277,498 |     15,167 |     36,054 |    328,719 |
| . (Files)                                                                                                                                     |         10 |        400 |         21 |         90 |        511 |
| 2_Train                                                                                                                                       |        170 |     39,843 |          0 |        170 |     40,013 |
| 2_Train/0418_JP                                                                                                                               |          2 |        590 |          0 |          2 |        592 |
| 2_Train/0418_JP/version_0                                                                                                                     |          2 |        590 |          0 |          2 |        592 |
| 2_Train/0419_JP                                                                                                                               |          2 |      1,090 |          0 |          2 |      1,092 |
| 2_Train/0419_JP/version_0                                                                                                                     |          2 |      1,090 |          0 |          2 |      1,092 |
| 2_Train/0419_eePose                                                                                                                           |          2 |        590 |          0 |          2 |        592 |
| 2_Train/0419_eePose/version_0                                                                                                                 |          2 |        590 |          0 |          2 |        592 |
| 2_Train/Apr16_15-42-27FK                                                                                                                      |          2 |        683 |          0 |          2 |        685 |
