ckpt_name,task_name,total_demos,total_success,sr
20250120_025303after_shock.yamlepoch=199.ckpt,close_jar_peract,400,152,[0.38]
20250120_025303after_shock.yamlepoch=399.ckpt,close_jar_peract,400,192,[0.48]
20250120_025303after_shock.yamlepoch=599.ckpt,close_jar_peract,400,229,[0.5725]
20250120_025303after_shock.yamlepoch=799.ckpt,close_jar_peract,400,218,[0.545]
20250120_025303after_shock.yamlepoch=999.ckpt,close_jar_peract,400,220,[0.55]
20250120_025303after_shock.yamlepoch=1199.ckpt,close_jar_peract,400,217,[0.5425]
20250120_025303after_shock.yamlepoch=1599.ckpt,close_jar_peract,400,222,[0.555]
20250120_025303after_shock.yamlepoch=1999.ckpt,close_jar_peract,400,214,[0.535]
20250120_025303after_shock.yamlepoch=2499.ckpt,close_jar_peract,400,222,[0.555]
20250120_025303after_shock.yamlepoch=3499.ckpt,close_jar_peract,400,195,[0.4875]
20250120_025303after_shock.yamlepoch=4499.ckpt,close_jar_peract,400,192,[0.48]
20250120_025303after_shock.yamlepoch=5499.ckpt,close_jar_peract,400,139,[0.3475]
20250120_025303after_shock.yamlepoch=6499.ckpt,close_jar_peract,400,202,[0.505]
20250121_163113lotus_origin.yamlepoch=2599.ckpt,close_jar_peract,400,355,[0.8875]
20250121_235201after_shock.yamlepoch=2499.ckpt,close_jar_peract,400,209,[0.5225]
    20250122_163025after_shock.yamlepoch=199.ckpt,close_jar_peract,200,170,[0.85]
    20250122_163025after_shock.yamlepoch=299.ckpt,close_jar_peract,200,191,[0.955]
    20250122_163025after_shock.yamlepoch=399.ckpt,close_jar_peract,200,190,[0.95]
    20250122_163025after_shock.yamlepoch=499.ckpt,close_jar_peract,200,187,[0.935]
    20250122_163025after_shock.yamlepoch=599.ckpt,close_jar_peract,200,193,[0.965]
    20250122_163025after_shock.yamlepoch=699.ckpt,close_jar_peract,200,190,[0.95]
    20250122_163025after_shock.yamlepoch=799.ckpt,close_jar_peract,200,190,[0.95]
    20250122_163025after_shock.yamlepoch=899.ckpt,close_jar_peract,200,191,[0.955]
    20250122_163025after_shock.yamlepoch=999.ckpt,close_jar_peract,200,191,[0.955]
20250122_164502after_shock.yamlepoch=299.ckpt,insert_onto_square_peg_peract,200,1,[0.005]
20250122_164502after_shock.yamlepoch=399.ckpt,insert_onto_square_peg_peract,200,39,[0.195]
20250122_164502after_shock.yamlepoch=499.ckpt,insert_onto_square_peg_peract,200,41,[0.205]
20250122_164502after_shock.yamlepoch=599.ckpt,insert_onto_square_peg_peract,200,17,[0.085]
20250122_164502after_shock.yamlepoch=699.ckpt,insert_onto_square_peg_peract,200,7,[0.035]
20250122_164502after_shock.yamlepoch=799.ckpt,insert_onto_square_peg_peract,200,60,[0.3]
20250122_164502after_shock.yamlepoch=899.ckpt,insert_onto_square_peg_peract,200,58,[0.29]
20250122_164502after_shock.yamlepoch=999.ckpt,insert_onto_square_peg_peract,200,81,[0.405]
20250122_164502after_shock.yamlepoch=1099.ckpt,insert_onto_square_peg_peract,200,81,[0.405]
20250122_164502after_shock.yamlepoch=1199.ckpt,insert_onto_square_peg_peract,200,86,[0.43]
20250122_164502after_shock.yamlepoch=1299.ckpt,insert_onto_square_peg_peract,200,72,[0.36]
20250122_164502after_shock.yamlepoch=1399.ckpt,insert_onto_square_peg_peract,200,84,[0.42]
20250122_164502after_shock.yamlepoch=1499.ckpt,insert_onto_square_peg_peract,200,91,[0.455]
20250122_164502after_shock.yamlepoch=1599.ckpt,insert_onto_square_peg_peract,200,90,[0.45]
20250122_164502after_shock.yamlepoch=1699.ckpt,insert_onto_square_peg_peract,200,69,[0.345]
20250122_164502after_shock.yamlepoch=1799.ckpt,insert_onto_square_peg_peract,40,12,[0.3]
20250122_164502after_shock.yamlepoch=1899.ckpt,insert_onto_square_peg_peract,200,65,[0.325]
    ckpt_name=0_epoch=099.ckpt,insert_onto_square_peg_peract,200,17,[0.085]
    ckpt_name=0_epoch=199.ckpt,insert_onto_square_peg_peract,200,84,[0.42]
    ckpt_name=0_epoch=299.ckpt,insert_onto_square_peg_peract,200,92,[0.46]
    ckpt_name=0_epoch=399.ckpt,insert_onto_square_peg_peract,200,114,[0.57]
    ckpt_name=0_epoch=499.ckpt,insert_onto_square_peg_peract,200,137,[0.685]
    ckpt_name=0_epoch=599.ckpt,insert_onto_square_peg_peract,200,129,[0.645]
    ckpt_name=0_epoch=699.ckpt,insert_onto_square_peg_peract,200,141,[0.705]
    ckpt_name=0_epoch=799.ckpt,insert_onto_square_peg_peract,200,141,[0.705]
