epoch,step,train_loss_epoch,train_loss_step
0,24,15.412117519716812,
1,49,,15.33714612312308
1,49,15.388165203307285,
2,74,15.331621743051995,
3,99,,15.17886473866879
3,99,15.24927873000249,
4,124,15.150752308938223,
5,149,,14.968798994662027
5,149,15.032022137136375,
6,174,14.891466626855271,
7,199,,14.639673941792683
7,199,14.71537147208549,
8,224,14.497804061163443,
9,249,,14.106746257777905
9,249,14.243129628497643,
10,274,13.87921711903644,
11,299,,13.30047691815939
11,299,13.453808419920012,
12,324,13.030387512567229,
13,349,,12.445896407926208
13,349,12.622857745661477,
14,374,12.290832681688281,
15,399,,11.806492951932688
15,399,11.989873692285956,
16,424,11.732566954664936,
17,449,,11.366084152034492
17,449,11.550441374011095,
18,474,11.35815664999445,
19,499,,11.149508250129898
19,499,11.209785279591644,
20,524,11.055892035655758,
21,549,,10.776263389626415
21,549,10.916480207316019,
22,574,10.826736950726326,
23,599,,10.726470034364684
23,599,10.77733765079648,
24,624,10.691459073139399,
25,649,,10.569755843900069
25,649,10.615316666961544,
26,674,10.544170563617957,
27,699,,10.32422126297114
27,699,10.496289267265219,
28,724,10.423357545037797,
29,749,,10.255869919689166
29,749,10.347719526616357,
30,774,10.276993447781795,
31,799,,10.09034989880849
31,799,10.191680325650102,
32,824,10.122560699403277,
33,849,,9.995595626251742
33,849,10.051091572079699,
34,874,10.000410952817179,
35,899,,9.905949167279875
35,899,9.928447949882463,
36,924,9.881121870944487,
37,949,,9.748925818849251
37,949,9.791606646655833,
38,974,9.758325423242091,
39,999,,9.624775998435021
39,999,9.701478928896194,
40,1024,9.651786516212427,
41,1049,,9.43504859218207
41,1049,9.60697208403102,
42,1074,9.533809419765163,
43,1099,,9.431600339790364
43,1099,9.48193629783389,
44,1124,9.459133591384306,
45,1149,,9.330319846954865
45,1149,9.41909785999435,
46,1174,9.346326977912177,
47,1199,,9.199757210811978
47,1199,9.301557467437902,
48,1224,9.254924625192144,
49,1249,,9.16617517042383
49,1249,9.228679440592382,
50,1274,9.181584911854268,
51,1299,,9.109720753627082
51,1299,9.169915980164472,
52,1324,9.143982793088355,
53,1349,,9.00906329721547
53,1349,9.076743700120286,
54,1374,9.05795308612429,
55,1399,,8.968162600648451
55,1399,9.01138364129169,
56,1424,8.989712961206571,
57,1449,,8.951089725230213
57,1449,8.947086337726697,
58,1474,8.928650769717853,
59,1499,,8.972599511667465
59,1499,8.926588226450622,
60,1524,8.873445810203659,
61,1549,,8.72143189791271
61,1549,8.808754198108923,
62,1574,8.829662716070699,
63,1599,,8.783246172624024
63,1599,8.780438275430026,
64,1624,8.784085694971115,
65,1649,,8.684600484329168
65,1649,8.737172584236902,
66,1674,8.712782937176614,
67,1699,,8.683554922969595
67,1699,8.683302997686393,
68,1724,8.69706720271239,
69,1749,,8.65976976996073
69,1749,8.686305355302332,
70,1774,8.639596353801567,
71,1799,,8.5324978886407
71,1799,8.58399808270258,
72,1824,8.594305312453209,
73,1849,,8.480774535738895
73,1849,8.573221632054432,
74,1874,8.53885727716242,
75,1899,,8.485708723231365
75,1899,8.500852873082792,
76,1924,8.486386454521947,
77,1949,,8.341611518469044
77,1949,8.465061581457247,
78,1974,8.474789531077343,
79,1999,,8.370028409907105
79,1999,8.439950330498757,
80,2024,8.416571954125658,
81,2049,,8.336026172333561
81,2049,8.41946376174286,
82,2074,8.379383122046029,
83,2099,,8.349254702705528
83,2099,8.402343550627707,
84,2124,8.34176703326578,
85,2149,,8.214518913351473
85,2149,8.312524834357774,
86,2174,8.298676971025927,
87,2199,,8.269780121741686
87,2199,8.298217589802709,
88,2224,8.264674988031883,
89,2249,,8.264047185590801
89,2249,8.25876665760545,
90,2274,8.252763604432852,
91,2299,,8.15701443176658
91,2299,8.212863994431848,
92,2324,8.186811089223493,
93,2349,,8.14165352110187
93,2349,8.19572228379474,
94,2374,8.169960990044592,
95,2399,,8.065141648260152
95,2399,8.160802447974827,
96,2424,8.177560404898589,
97,2449,,7.961149406921924
97,2449,8.123725902300363,
98,2474,8.103763464350306,
99,2499,,7.947946866288583
99,2499,8.079453204676232,
100,2524,8.095476543679244,
101,2549,,7.984250149794353
101,2549,8.064002176485486,
102,2574,8.080945368272312,
103,2599,,8.054950427368915
103,2599,8.036067766257109,
104,2624,8.008396065055555,
105,2649,,7.871102647660651
105,2649,8.02774527098328,
106,2674,8.017036680553026,
107,2699,,7.838263442365857
107,2699,7.98474306219841,
108,2724,7.976484832381659,
109,2749,,7.924214141101906
109,2749,7.985084188651412,
110,2774,8.010088250221974,
111,2799,,7.914582609401823
111,2799,7.938643342401799,
112,2824,7.962302934725646,
113,2849,,7.904924464415491
113,2849,7.979028497347927,
114,2874,7.932781814745713,
115,2899,,7.923020423378376
115,2899,7.917150093427939,
116,2924,7.914328309107844,
117,2949,,7.853290439811593
117,2949,7.905535307468711,
118,2974,7.88641811237216,
119,2999,,7.705702292496486
119,2999,7.873587414908559,
120,3024,7.89612964102775,
121,3049,,7.809560853684993
121,3049,7.860415616602719,
122,3074,7.88307206817456,
123,3099,,7.840568749215046
123,3099,7.837495599869087,
124,3124,7.849733538179503,
125,3149,,7.801889522107058
125,3149,7.8371953132130905,
126,3174,7.827165053221144,
127,3199,,7.701396231631336
127,3199,7.800266886589579,
128,3224,7.833798712484566,
129,3249,,7.660986350894737
129,3249,7.816114449695453,
130,3274,7.816073652513085,
131,3299,,7.7926417455484795
131,3299,7.815677736732673,
132,3324,7.8391012250953995,
133,3349,,7.766057629816236
133,3349,7.811014005086889,
134,3374,7.797832113223185,
135,3399,,7.642255822119916
135,3399,7.758261996685671,
136,3424,7.743846840161835,
137,3449,,7.7725543164306155
137,3449,7.7474465546617575,
138,3474,7.738547896933012,
139,3499,,7.80413530986288
139,3499,7.714829978072618,
140,3524,7.733522752975848,
141,3549,,7.747955829386813
141,3549,7.7200741112978415,
142,3574,7.746813827786768,
143,3599,,7.626987956399182
143,3599,7.749505224575271,
144,3624,7.718606820311074,
145,3649,,7.667092940997286
145,3649,7.711577709169356,
146,3674,7.746119061189525,
147,3699,,7.660281712228806
147,3699,7.711599365793872,
148,3724,7.711839431172094,
149,3749,,7.685896799630202
149,3749,7.686617807128483,
150,3774,7.733910555084257,
151,3799,,7.580279195920426
151,3799,7.683059700152113,
152,3824,7.677172066059812,
153,3849,,7.700737685340336
153,3849,7.674391009911672,
154,3874,7.69956888648554,
155,3899,,7.623559506041444
155,3899,7.7153352074409485,
156,3924,7.647663044240486,
157,3949,,7.644427288857226
157,3949,7.649345998047504,
158,3974,7.652064087925886,
159,3999,,7.555774942881233
159,3999,7.650307233699439,
160,4024,7.63634918455794,
161,4049,,7.582889865649318
161,4049,7.62808614403164,
162,4074,7.664855663320339,
163,4099,,7.556463742327862
163,4099,7.636986793746674,
164,4124,7.629616152512217,
165,4149,,7.683184532904068
165,4149,7.639106730127618,
166,4174,7.654554406061469,
167,4199,,7.63308352809163
167,4199,7.633763003344787,
168,4224,7.6281274372098835,
169,4249,,7.558606913916309
169,4249,7.6094114954508525,
170,4274,7.588083443728936,
171,4299,,7.605265310912249
171,4299,7.613109234081079,
172,4324,7.6202131826255215,
173,4349,,7.611246909429701
173,4349,7.638128032486464,
174,4374,7.594293065148051,
175,4399,,7.508722558276453
175,4399,7.616801959125387,
176,4424,7.590545077621392,
177,4449,,7.577640758782264
177,4449,7.577419691685408,
178,4474,7.587219747706122,
179,4499,,7.496671571963483
179,4499,7.56230564400929,
180,4524,7.544028004965221,
181,4549,,7.410998179934041
181,4549,7.546705800908909,
182,4574,7.5534825027150925,
183,4599,,7.530211841564882
183,4599,7.565481308891298,
184,4624,7.57288366967658,
185,4649,,7.460309136251135
185,4649,7.5476807497288885,
186,4674,7.527547090866246,
187,4699,,7.530712793067555
187,4699,7.578380446412126,
188,4724,7.591100357103913,
189,4749,,7.594300108901349
189,4749,7.537817492854029,
190,4774,7.545383044146158,
191,4799,,7.563951221817986
191,4799,7.551651807391231,
192,4824,7.566054790027629,
193,4849,,7.4936143670414594
193,4849,7.552623204848806,
194,4874,7.52840730970079,
195,4899,,7.4397032390874465
195,4899,7.568780981785622,
196,4924,7.554965104221143,
197,4949,,7.6854292568410765
197,4949,7.567689242185551,
198,4974,7.5560998977658,
199,4999,,7.33669942567796
199,4999,7.540098029435069,
200,5024,7.539009113396014,
201,5049,,7.510108689965291
201,5049,7.544797778556229,
202,5074,7.531344099721155,
203,5099,,7.349079210314391
203,5099,7.535183778362999,
204,5124,7.575735971897644,
205,5149,,7.479860874621837
205,5149,7.539912828330224,
206,5174,7.522126864982871,
207,5199,,7.396530009856524
207,5199,7.511572420800984,
208,5224,7.51304757423565,
209,5249,,7.487981378071937
209,5249,7.475317307009511,
210,5274,7.478797699389416,
211,5299,,7.468634346498701
211,5299,7.485151760187402,
212,5324,7.498760554233322,
213,5349,,7.333955214319365
213,5349,7.490553082664218,
214,5374,7.505452448689294,
215,5399,,7.3518413987758535
215,5399,7.498539495512517,
216,5424,7.482327145050008,
217,5449,,7.395739865711776
217,5449,7.492941858737367,
218,5474,7.466767099807316,
219,5499,,7.404254331565746
219,5499,7.44997282140366,
220,5524,7.434840471817617,
221,5549,,7.448918753194644
221,5549,7.474430180052854,
222,5574,7.462316551118078,
223,5599,,7.47488467762048
223,5599,7.505925102459902,
224,5624,7.50717507316915,
225,5649,,7.343356407894803
225,5649,7.452657903673131,
226,5674,7.4720945426400185,
227,5699,,7.5263926281477325
227,5699,7.474715847990731,
228,5724,7.476739239327336,
229,5749,,7.314331121460648
229,5749,7.458132269900878,
230,5774,7.464348419645929,
231,5799,,7.48312770224112
231,5799,7.4906056218504204,
232,5824,7.535862453901717,
233,5849,,7.489544741808161
233,5849,7.533385305065064,
234,5874,7.499888054728076,
235,5899,,7.431938365557665
235,5899,7.4848753798300445,
236,5924,7.454957993584529,
237,5949,,7.4361031766330346
237,5949,7.459556454771638,
238,5974,7.482662863495694,
239,5999,,7.411692603630592
239,5999,7.472093518514584,
240,6024,7.468257042417166,
241,6049,,7.485301167766914
241,6049,7.4748102778423196,
242,6074,7.497666797907221,
243,6099,,7.431312339484311
243,6099,7.499619597342089,
244,6124,7.4555799940517025,
245,6149,,7.405765858597578
245,6149,7.425643409129912,
246,6174,7.425012673388769,
247,6199,,7.407270318365912
247,6199,7.43711288891835,
248,6224,7.417618043425779,
249,6249,,7.366461365780589
249,6249,7.453576957592499,
250,6274,7.3917930864472146,
251,6299,,7.413881542665564
251,6299,7.411027415108802,
252,6324,7.429501499989491,
253,6349,,7.366395270023305
253,6349,7.404444034154682,
254,6374,7.375003859612581,
255,6399,,7.275087116533407
255,6399,7.370226721535939,
256,6424,7.423957521793085,
257,6449,,7.292110569390754
257,6449,7.418069849598356,
258,6474,7.4357951393622495,
259,6499,,7.588924298275755
259,6499,7.432116627186285,
260,6524,7.469629786209003,
261,6549,,7.334630814451419
261,6549,7.528011743128911,
262,6574,7.51311037732312,
263,6599,,7.336651841549185
263,6599,7.482382225983487,
264,6624,7.405219820129356,
265,6649,,7.437946082585762
265,6649,7.426493614884242,
266,6674,7.409418875814119,
267,6699,,7.436770987484191
267,6699,7.435351230668442,
268,6724,7.448673049731054,
269,6749,,7.338810266706639
269,6749,7.426984535624336,
270,6774,7.419286456566731,
271,6799,,7.290759718338333
271,6799,7.401815756403569,
272,6824,7.384904633122351,
273,6849,,7.371062795583414
273,6849,7.374872578064334,
274,6874,7.366864941049602,
275,6899,,7.336044646421279
275,6899,7.426483380129034,
276,6924,7.3976588082494965,
277,6949,,7.302319260892025
277,6949,7.386308147628739,
278,6974,7.358499020377613,
279,6999,,7.32622795224677
279,6999,7.418436652395517,
280,7024,7.406515562110477,
281,7049,,7.412295194145969
281,7049,7.427578454665692,
282,7074,7.423829286966697,
283,7099,,7.322501642817416
283,7099,7.410013547351067,
284,7124,7.403346284211272,
285,7149,,7.3188993676022065
285,7149,7.4215115180175895,
286,7174,7.4084358368685495,
287,7199,,7.192345600953116
287,7199,7.3753919078263,
288,7224,7.390876967761664,
289,7249,,7.37689236620259
289,7249,7.392931901804067,
290,7274,7.402456996752975,
291,7299,,7.252507305616136
291,7299,7.394320841680387,
292,7324,7.359403804812816,
293,7349,,7.3876226155738856
293,7349,7.358041699534105,
294,7374,7.33785956427582,
295,7399,,7.336504595241434
295,7399,7.3493356560418865,
296,7424,7.367772485448354,
297,7449,,7.493441399558553
297,7449,7.355951553160273,
298,7474,7.328626839312387,
299,7499,,7.36076696182942
299,7499,7.343534120540482,
300,7524,7.344009872826717,
301,7549,,7.270259001241316
301,7549,7.334806806281078,
302,7574,7.338714651442975,
303,7599,,7.274325026664038
303,7599,7.345822060615771,
304,7624,7.328613695367202,
305,7649,,7.327010238065171
305,7649,7.3639753682944225,
306,7674,7.3624526296698924,
307,7699,,7.184082204847553
307,7699,7.314286845362773,
308,7724,7.339136866956343,
309,7749,,7.2247167444255584
309,7749,7.314790229496384,
310,7774,7.347503885927089,
311,7799,,7.471168394975049
