ckpt_name,task_name,total_demos,total_success,sr
20250122_163025after_shock.yamlepoch=199.ckpt,close_jar_peract,200,170,[0.85]
20250122_163025after_shock.yamlepoch=299.ckpt,close_jar_peract,200,191,[0.955]
20250122_163025after_shock.yamlepoch=399.ckpt,close_jar_peract,200,190,[0.95]
20250122_163025after_shock.yamlepoch=499.ckpt,close_jar_peract,200,187,[0.935]
20250122_163025after_shock.yamlepoch=599.ckpt,close_jar_peract,200,193,[0.965]
20250122_163025after_shock.yamlepoch=699.ckpt,close_jar_peract,200,190,[0.95]
20250122_163025after_shock.yamlepoch=799.ckpt,close_jar_peract,200,190,[0.95]
20250122_163025after_shock.yamlepoch=899.ckpt,close_jar_peract,200,191,[0.955]
20250122_163025after_shock.yamlepoch=999.ckpt,close_jar_peract,200,191,[0.955]

