ckpt_name,task_name,total_demos,total_success,sr
20250122_164502after_shock.yamlepoch=299.ckpt,insert_onto_square_peg_peract,200,1,[0.005]
20250122_164502after_shock.yamlepoch=399.ckpt,insert_onto_square_peg_peract,200,39,[0.195]
20250122_164502after_shock.yamlepoch=499.ckpt,insert_onto_square_peg_peract,200,41,[0.205]
20250122_164502after_shock.yamlepoch=599.ckpt,insert_onto_square_peg_peract,200,17,[0.085]
20250122_164502after_shock.yamlepoch=699.ckpt,insert_onto_square_peg_peract,200,7,[0.035]
20250122_164502after_shock.yamlepoch=799.ckpt,insert_onto_square_peg_peract,200,60,[0.3]
20250122_164502after_shock.yamlepoch=899.ckpt,insert_onto_square_peg_peract,200,58,[0.29]
20250122_164502after_shock.yamlepoch=999.ckpt,insert_onto_square_peg_peract,200,81,[0.405]
20250122_164502after_shock.yamlepoch=1099.ckpt,insert_onto_square_peg_peract,200,81,[0.405]
20250122_164502after_shock.yamlepoch=1199.ckpt,insert_onto_square_peg_peract,200,86,[0.43]
20250122_164502after_shock.yamlepoch=1299.ckpt,insert_onto_square_peg_peract,200,72,[0.36]
20250122_164502after_shock.yamlepoch=1399.ckpt,insert_onto_square_peg_peract,200,84,[0.42]
20250122_164502after_shock.yamlepoch=1499.ckpt,insert_onto_square_peg_peract,200,91,[0.455]
20250122_164502after_shock.yamlepoch=1599.ckpt,insert_onto_square_peg_peract,200,90,[0.45]
20250122_164502after_shock.yamlepoch=1699.ckpt,insert_onto_square_peg_peract,200,69,[0.345]
20250122_164502after_shock.yamlepoch=1799.ckpt,insert_onto_square_peg_peract,40,12,[0.3]
20250122_164502after_shock.yamlepoch=1899.ckpt,insert_onto_square_peg_peract,200,65,[0.325]

